2023-07-31 20:19:47.004  INFO [PAYMENT-SERVICE,,] 19980 --- [main] ServiceMsTargetMsZipkinSluethApplication : Starting BootMsProj13PaymentServiceMsTargetMsZipkinSluethApplication using Java 17.0.2 on DESKTOP-QENT2RN with PID 19980 (E:\Worskpaces\Spring\NTSPBMS616-MS\BootMSProj13-PaymentServiceMS-TargetMs-Zipkin-Slueth\target\classes started by NATARAJ in E:\Worskpaces\Spring\NTSPBMS616-MS\BootMSProj13-PaymentServiceMS-TargetMs-Zipkin-Slueth)
2023-07-31 20:19:47.014  INFO [PAYMENT-SERVICE,,] 19980 --- [main] ServiceMsTargetMsZipkinSluethApplication : No active profile set, falling back to default profiles: default
2023-07-31 20:19:48.476  INFO [PAYMENT-SERVICE,,] 19980 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=ee655fdf-2a26-340c-8089-1d582ad78a3f
2023-07-31 20:19:49.428  INFO [PAYMENT-SERVICE,,] 19980 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9091 (http)
2023-07-31 20:19:49.442  INFO [PAYMENT-SERVICE,,] 19980 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-07-31 20:19:49.443  INFO [PAYMENT-SERVICE,,] 19980 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.56]
2023-07-31 20:19:49.594  INFO [PAYMENT-SERVICE,,] 19980 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-07-31 20:19:49.596  INFO [PAYMENT-SERVICE,,] 19980 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2500 ms
2023-07-31 20:19:50.618  WARN [PAYMENT-SERVICE,,] 19980 --- [main] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Read timed out; nested exception is java.net.SocketTimeoutException: Read timed out}]
2023-07-31 20:19:52.037  INFO [PAYMENT-SERVICE,,] 19980 --- [main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2023-07-31 20:19:52.471  WARN [PAYMENT-SERVICE,,] 19980 --- [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
